component,context,state,kind,subkind,requirement,threshold,ratio,verdict,project_bar_3,element,fg_token,fg_rendered,bg_token,bg_rendered,font_px,font_weight,large,count,fg_chain,bg_chain,path,text
button,acme,default,non-text,box,informational,,5.7,INFO,PASS,onyx-button.ui-button--primary › button.ui-button__el box,--ui-button-bg,#7c3aed,--ui-color-surface,#ffffff,,,,2,--ui-button-bg → --ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--primary > button.ui-button__el,
button,acme,default,text,text,required,4.5,5.7,PASS,PASS,onyx-button.ui-button--primary › span.ui-button__label,--ui-button-text,#ffffff,--ui-button-bg,#7c3aed,16,600,false,2,--ui-button-text → --ui-color-on-primary → --ui-white → #ffffff,--ui-button-bg → --ui-color-primary → #7c3aed,onyx-button.ui-button.ui-button--primary > button.ui-button__el > span.ui-button__label,Primary
button,acme,default,non-text,border,informational,,5.7,INFO,PASS,onyx-button.ui-button--secondary › button.ui-button__el border,--ui-color-primary,#7c3aed,--ui-color-surface,#ffffff,,,,1,--ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--secondary > button.ui-button__el,
button,acme,default,text,text,required,4.5,5.7,PASS,PASS,onyx-button.ui-button--secondary › span.ui-button__label,--ui-color-primary,#7c3aed,--ui-color-surface,#ffffff,16,600,false,1,--ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--secondary > button.ui-button__el > span.ui-button__label,Secondary
button,acme,default,text,text,required,4.5,5.7,PASS,PASS,onyx-button.ui-button--text › span.ui-button__label,--ui-color-primary,#7c3aed,--ui-color-surface,#ffffff,16,600,false,1,--ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--text > button.ui-button__el > span.ui-button__label,Text
button,acme,default,non-text,box,informational,,5.7,INFO,PASS,onyx-button.ui-button--primary.ui-button--sm › button.ui-button__el box,--ui-button-bg,#7c3aed,--ui-color-surface,#ffffff,,,,1,--ui-button-bg → --ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--primary > button.ui-button__el,
button,acme,default,text,text,required,4.5,5.7,PASS,PASS,onyx-button.ui-button--primary.ui-button--sm › span.ui-button__label,--ui-button-text,#ffffff,--ui-button-bg,#7c3aed,16,600,false,1,--ui-button-text → --ui-color-on-primary → --ui-white → #ffffff,--ui-button-bg → --ui-color-primary → #7c3aed,onyx-button.ui-button.ui-button--primary > button.ui-button__el > span.ui-button__label,Small
button,acme,default,non-text,box,informational,,5.7,INFO,PASS,onyx-button.ui-button--primary.ui-button--lg › button.ui-button__el box,--ui-button-bg,#7c3aed,--ui-color-surface,#ffffff,,,,1,--ui-button-bg → --ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--primary > button.ui-button__el,
button,acme,default,text,text,required,4.5,5.7,PASS,PASS,onyx-button.ui-button--primary.ui-button--lg › span.ui-button__label,--ui-button-text,#ffffff,--ui-button-bg,#7c3aed,16,600,false,1,--ui-button-text → --ui-color-on-primary → --ui-white → #ffffff,--ui-button-bg → --ui-color-primary → #7c3aed,onyx-button.ui-button.ui-button--primary > button.ui-button__el > span.ui-button__label,Large
button,acme,default,non-text,box,exempt-disabled,,5.7,EXEMPT,PASS,onyx-button.ui-button--primary.ui-button--disabled › button.ui-button__el [disabled] box,--ui-button-bg,#7c3aed,--ui-color-surface,#ffffff,,,,1,--ui-button-bg → --ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--primary > button.ui-button__el,
button,acme,default,text,text,exempt-disabled,,5.7,EXEMPT,PASS,onyx-button.ui-button--primary.ui-button--disabled › span.ui-button__label [disabled],--ui-button-text,#ffffff,--ui-button-bg,#7c3aed,16,600,false,1,--ui-button-text → --ui-color-on-primary → --ui-white → #ffffff,--ui-button-bg → --ui-color-primary → #7c3aed,onyx-button.ui-button.ui-button--primary > button.ui-button__el > span.ui-button__label,Disabled
button,acme,default,non-text,box,exempt-disabled,,5.7,EXEMPT,PASS,onyx-button.ui-button--primary.ui-button--loading › button.ui-button__el [disabled] box,--ui-button-bg,#7c3aed,--ui-color-surface,#ffffff,,,,1,--ui-button-bg → --ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--primary > button.ui-button__el,
button,acme,default,non-text,border-rbl,exempt-disabled,,5.7,EXEMPT,PASS,onyx-button.ui-button--primary.ui-button--loading › span.ui-button__spinner [disabled] border-rbl,--ui-button-text,#ffffff,--ui-button-bg,#7c3aed,,,,1,--ui-button-text → --ui-color-on-primary → --ui-white → #ffffff,--ui-button-bg → --ui-color-primary → #7c3aed,onyx-button.ui-button.ui-button--primary > button.ui-button__el > span.ui-button__spinner,
button,acme,default,text,text,exempt-disabled,,5.7,EXEMPT,PASS,onyx-button.ui-button--primary.ui-button--loading › span.ui-button__label [disabled],--ui-button-text,#ffffff,--ui-button-bg,#7c3aed,16,600,false,1,--ui-button-text → --ui-color-on-primary → --ui-white → #ffffff,--ui-button-bg → --ui-color-primary → #7c3aed,onyx-button.ui-button.ui-button--primary > button.ui-button__el > span.ui-button__label,Loading
button,acme,default,non-text,border,exempt-disabled,,5.7,EXEMPT,PASS,onyx-button.ui-button--secondary.ui-button--disabled › button.ui-button__el [disabled] border,--ui-color-primary,#7c3aed,--ui-color-surface,#ffffff,,,,1,--ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--secondary > button.ui-button__el,
button,acme,default,text,text,exempt-disabled,,5.7,EXEMPT,PASS,onyx-button.ui-button--secondary.ui-button--disabled › span.ui-button__label [disabled],--ui-color-primary,#7c3aed,--ui-color-surface,#ffffff,16,600,false,1,--ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--secondary > button.ui-button__el > span.ui-button__label,Disabled
button,acme,default,non-text,border,exempt-disabled,,5.7,EXEMPT,PASS,onyx-button.ui-button--secondary.ui-button--loading › button.ui-button__el [disabled] border,--ui-color-primary,#7c3aed,--ui-color-surface,#ffffff,,,,1,--ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--secondary > button.ui-button__el,
button,acme,default,non-text,border-rbl,exempt-disabled,,5.7,EXEMPT,PASS,onyx-button.ui-button--secondary.ui-button--loading › span.ui-button__spinner [disabled] border-rbl,--ui-color-primary,#7c3aed,--ui-color-surface,#ffffff,,,,1,--ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--secondary > button.ui-button__el > span.ui-button__spinner,
button,acme,default,text,text,exempt-disabled,,5.7,EXEMPT,PASS,onyx-button.ui-button--secondary.ui-button--loading › span.ui-button__label [disabled],--ui-color-primary,#7c3aed,--ui-color-surface,#ffffff,16,600,false,1,--ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--secondary > button.ui-button__el > span.ui-button__label,Loading
button,acme,focus,non-text,focus-ring,required,3,4.23,PASS,PASS,onyx-button.ui-button--primary › button.ui-button__el focus-ring/box-shadow,--ui-focus-ring,#8b5cf6,--ui-color-surface,#ffffff,,,,1,--ui-focus-ring → #8b5cf6,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--primary > button.ui-button__el,
button,acme,focus,non-text,focus-ring-vs-control,informational,,1.35,INFO,FAIL,onyx-button.ui-button--primary › button.ui-button__el focus-ring/vs-control,--ui-focus-ring,#8b5cf6,--ui-button-bg,#7c3aed,,,,1,--ui-focus-ring → #8b5cf6,--ui-button-bg → --ui-color-primary → #7c3aed,onyx-button.ui-button.ui-button--primary > button.ui-button__el,
button,acme,focus,non-text,focus-ring,required,3,4.23,PASS,PASS,onyx-button.ui-button--secondary › button.ui-button__el focus-ring/box-shadow,--ui-focus-ring,#8b5cf6,--ui-color-surface,#ffffff,,,,1,--ui-focus-ring → #8b5cf6,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--secondary > button.ui-button__el,
button,acme,focus,non-text,focus-ring,required,3,4.23,PASS,PASS,onyx-button.ui-button--text › button.ui-button__el focus-ring/box-shadow,--ui-focus-ring,#8b5cf6,--ui-color-surface,#ffffff,,,,1,--ui-focus-ring → #8b5cf6,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--text > button.ui-button__el,
button,acme,focus,non-text,focus-ring,required,3,4.23,PASS,PASS,onyx-button.ui-button--primary.ui-button--sm › button.ui-button__el focus-ring/box-shadow,--ui-focus-ring,#8b5cf6,--ui-color-surface,#ffffff,,,,1,--ui-focus-ring → #8b5cf6,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--primary > button.ui-button__el,
button,acme,focus,non-text,focus-ring-vs-control,informational,,1.35,INFO,FAIL,onyx-button.ui-button--primary.ui-button--sm › button.ui-button__el focus-ring/vs-control,--ui-focus-ring,#8b5cf6,--ui-button-bg,#7c3aed,,,,1,--ui-focus-ring → #8b5cf6,--ui-button-bg → --ui-color-primary → #7c3aed,onyx-button.ui-button.ui-button--primary > button.ui-button__el,
button,acme,focus,non-text,focus-ring,required,3,4.23,PASS,PASS,onyx-button.ui-button--primary.ui-button--lg › button.ui-button__el focus-ring/box-shadow,--ui-focus-ring,#8b5cf6,--ui-color-surface,#ffffff,,,,1,--ui-focus-ring → #8b5cf6,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--primary > button.ui-button__el,
button,acme,focus,non-text,focus-ring-vs-control,informational,,1.35,INFO,FAIL,onyx-button.ui-button--primary.ui-button--lg › button.ui-button__el focus-ring/vs-control,--ui-focus-ring,#8b5cf6,--ui-button-bg,#7c3aed,,,,1,--ui-focus-ring → #8b5cf6,--ui-button-bg → --ui-color-primary → #7c3aed,onyx-button.ui-button.ui-button--primary > button.ui-button__el,
button,acme,hover,text,text,required,4.5,7.1,PASS,PASS,onyx-button.ui-button--primary › span.ui-button__label,--ui-button-text,#ffffff,--ui-button-bg-hover,#6d28d9,16,600,false,1,--ui-button-text → --ui-color-on-primary → --ui-white → #ffffff,--ui-button-bg-hover → --ui-color-primary-hover → #6d28d9,onyx-button.ui-button.ui-button--primary > button.ui-button__el > span.ui-button__label,Primary
button,acme,hover,non-text,box,informational,,7.1,INFO,PASS,onyx-button.ui-button--primary › button.ui-button__el box,--ui-button-bg-hover,#6d28d9,--ui-color-surface,#ffffff,,,,1,--ui-button-bg-hover → --ui-color-primary-hover → #6d28d9,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--primary > button.ui-button__el,
button,acme,hover,text,text,required,4.5,5.24,PASS,PASS,onyx-button.ui-button--secondary › span.ui-button__label,--ui-color-primary,#7c3aed,--ui-color-surface-hover,#eff6ff,16,600,false,1,--ui-color-primary → #7c3aed,--ui-color-surface-hover → --ui-blue-50 → #eff6ff,onyx-button.ui-button.ui-button--secondary > button.ui-button__el > span.ui-button__label,Secondary
button,acme,hover,non-text,border,informational,,5.7,INFO,PASS,onyx-button.ui-button--secondary › button.ui-button__el border,--ui-color-primary,#7c3aed,--ui-color-surface,#ffffff,,,,1,--ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--secondary > button.ui-button__el,
button,acme,hover,non-text,border-vs-own-bg,informational,,5.24,INFO,PASS,onyx-button.ui-button--secondary › button.ui-button__el border/inner,--ui-color-primary,#7c3aed,--ui-color-surface-hover,#eff6ff,,,,1,--ui-color-primary → #7c3aed,--ui-color-surface-hover → --ui-blue-50 → #eff6ff,onyx-button.ui-button.ui-button--secondary > button.ui-button__el,
button,acme,hover,non-text,box,informational,,1.09,INFO,FAIL,onyx-button.ui-button--secondary › button.ui-button__el box,--ui-color-surface-hover,#eff6ff,--ui-color-surface,#ffffff,,,,1,--ui-color-surface-hover → --ui-blue-50 → #eff6ff,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--secondary > button.ui-button__el,
button,acme,hover,text,text,required,4.5,5.24,PASS,PASS,onyx-button.ui-button--text › span.ui-button__label,--ui-color-primary,#7c3aed,--ui-color-surface-hover,#eff6ff,16,600,false,1,--ui-color-primary → #7c3aed,--ui-color-surface-hover → --ui-blue-50 → #eff6ff,onyx-button.ui-button.ui-button--text > button.ui-button__el > span.ui-button__label,Text
button,acme,hover,non-text,box,informational,,1.09,INFO,FAIL,onyx-button.ui-button--text › button.ui-button__el box,--ui-color-surface-hover,#eff6ff,--ui-color-surface,#ffffff,,,,1,--ui-color-surface-hover → --ui-blue-50 → #eff6ff,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--text > button.ui-button__el,
button,acme,hover,text,text,required,4.5,7.1,PASS,PASS,onyx-button.ui-button--primary.ui-button--sm › span.ui-button__label,--ui-button-text,#ffffff,--ui-button-bg-hover,#6d28d9,16,600,false,1,--ui-button-text → --ui-color-on-primary → --ui-white → #ffffff,--ui-button-bg-hover → --ui-color-primary-hover → #6d28d9,onyx-button.ui-button.ui-button--primary > button.ui-button__el > span.ui-button__label,Small
button,acme,hover,non-text,box,informational,,7.1,INFO,PASS,onyx-button.ui-button--primary.ui-button--sm › button.ui-button__el box,--ui-button-bg-hover,#6d28d9,--ui-color-surface,#ffffff,,,,1,--ui-button-bg-hover → --ui-color-primary-hover → #6d28d9,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--primary > button.ui-button__el,
button,acme,hover,text,text,required,4.5,7.1,PASS,PASS,onyx-button.ui-button--primary.ui-button--lg › span.ui-button__label,--ui-button-text,#ffffff,--ui-button-bg-hover,#6d28d9,16,600,false,1,--ui-button-text → --ui-color-on-primary → --ui-white → #ffffff,--ui-button-bg-hover → --ui-color-primary-hover → #6d28d9,onyx-button.ui-button.ui-button--primary > button.ui-button__el > span.ui-button__label,Large
button,acme,hover,non-text,box,informational,,7.1,INFO,PASS,onyx-button.ui-button--primary.ui-button--lg › button.ui-button__el box,--ui-button-bg-hover,#6d28d9,--ui-color-surface,#ffffff,,,,1,--ui-button-bg-hover → --ui-color-primary-hover → #6d28d9,--ui-color-surface → --ui-white → #ffffff,onyx-button.ui-button.ui-button--primary > button.ui-button__el,
card,light,default,non-text,border,informational,,1.23,INFO,FAIL,onyx-card border,--ui-card-border-color,#e2e8f0,--ui-color-surface,#ffffff,,,,3,--ui-card-border-color → --ui-color-border → --ui-slate-200 → #e2e8f0,--ui-color-surface → --ui-white → #ffffff,onyx-card.ui-card,
card,light,default,text,text,required,4.5,17.85,PASS,PASS,onyx-card › strong,--ui-card-text,#0f172a,--ui-card-bg,#ffffff,15,700,false,1,--ui-card-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-card-bg → --ui-color-surface → --ui-white → #ffffff,onyx-card.ui-card > div.ui-card__body > strong,Project Atlas
card,light,default,text,text,required,4.5,17.85,PASS,PASS,onyx-card › p,--ui-card-text,#0f172a,--ui-card-bg,#ffffff,15,400,false,1,--ui-card-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-card-bg → --ui-color-surface → --ui-white → #ffffff,onyx-card.ui-card > div.ui-card__body > p,A concise summary of the card body conte
card,light,default,text,text,required,4.5,17.85,PASS,PASS,onyx-card › span,--ui-card-text,#0f172a,--ui-card-bg,#ffffff,15,400,false,1,--ui-card-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-card-bg → --ui-color-surface → --ui-white → #ffffff,onyx-card.ui-card > div.ui-card__body > span,Updated 2 hours ago
card,light,default,text,text,required,4.5,17.85,PASS,PASS,onyx-card › div.ui-card__body,--ui-card-text,#0f172a,--ui-card-bg,#ffffff,15,400,false,2,--ui-card-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-card-bg → --ui-color-surface → --ui-white → #ffffff,onyx-card.ui-card > div.ui-card__body,Elevated surface
card,dark,default,non-text,border,informational,,1.72,INFO,FAIL,onyx-card border,--ui-card-border-color,#334155,--ui-color-surface,#0f172a,,,,3,--ui-card-border-color → --ui-color-border → --ui-slate-700 → #334155,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-card.ui-card,
card,dark,default,text,text,required,4.5,17.06,PASS,PASS,onyx-card › strong,--ui-card-text,#f8fafc,--ui-card-bg,#0f172a,15,700,false,1,--ui-card-text → --ui-color-text → --ui-slate-50 → #f8fafc,--ui-card-bg → --ui-color-surface → --ui-slate-900 → #0f172a,onyx-card.ui-card > div.ui-card__body > strong,Project Atlas
card,dark,default,text,text,required,4.5,17.06,PASS,PASS,onyx-card › p,--ui-card-text,#f8fafc,--ui-card-bg,#0f172a,15,400,false,1,--ui-card-text → --ui-color-text → --ui-slate-50 → #f8fafc,--ui-card-bg → --ui-color-surface → --ui-slate-900 → #0f172a,onyx-card.ui-card > div.ui-card__body > p,A concise summary of the card body conte
card,dark,default,text,text,required,4.5,17.06,PASS,PASS,onyx-card › span,--ui-card-text,#f8fafc,--ui-card-bg,#0f172a,15,400,false,1,--ui-card-text → --ui-color-text → --ui-slate-50 → #f8fafc,--ui-card-bg → --ui-color-surface → --ui-slate-900 → #0f172a,onyx-card.ui-card > div.ui-card__body > span,Updated 2 hours ago
card,dark,default,text,text,required,4.5,17.06,PASS,PASS,onyx-card › div.ui-card__body,--ui-card-text,#f8fafc,--ui-card-bg,#0f172a,15,400,false,2,--ui-card-text → --ui-color-text → --ui-slate-50 → #f8fafc,--ui-card-bg → --ui-color-surface → --ui-slate-900 → #0f172a,onyx-card.ui-card > div.ui-card__body,Elevated surface
card,acme,default,non-text,border,informational,,1.23,INFO,FAIL,onyx-card border,--ui-card-border-color,#e2e8f0,--ui-color-surface,#ffffff,,,,3,--ui-card-border-color → --ui-color-border → --ui-slate-200 → #e2e8f0,--ui-color-surface → --ui-white → #ffffff,onyx-card.ui-card,
card,acme,default,text,text,required,4.5,17.85,PASS,PASS,onyx-card › strong,--ui-card-text,#0f172a,--ui-card-bg,#ffffff,15,700,false,1,--ui-card-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-card-bg → --ui-color-surface → --ui-white → #ffffff,onyx-card.ui-card > div.ui-card__body > strong,Project Atlas
card,acme,default,text,text,required,4.5,17.85,PASS,PASS,onyx-card › p,--ui-card-text,#0f172a,--ui-card-bg,#ffffff,15,400,false,1,--ui-card-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-card-bg → --ui-color-surface → --ui-white → #ffffff,onyx-card.ui-card > div.ui-card__body > p,A concise summary of the card body conte
card,acme,default,text,text,required,4.5,17.85,PASS,PASS,onyx-card › span,--ui-card-text,#0f172a,--ui-card-bg,#ffffff,15,400,false,1,--ui-card-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-card-bg → --ui-color-surface → --ui-white → #ffffff,onyx-card.ui-card > div.ui-card__body > span,Updated 2 hours ago
card,acme,default,text,text,required,4.5,17.85,PASS,PASS,onyx-card › div.ui-card__body,--ui-card-text,#0f172a,--ui-card-bg,#ffffff,15,400,false,2,--ui-card-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-card-bg → --ui-color-surface → --ui-white → #ffffff,onyx-card.ui-card > div.ui-card__body,Elevated surface
checkbox,light,default,non-text,accent,required,3,5.17,PASS,PASS,onyx-checkbox › input.ui-checkbox__el accent-color (UA-drawn checked fill),--ui-checkbox-bg-checked,#2563eb,--ui-color-surface,#ffffff,,,,2,--ui-checkbox-bg-checked → --ui-color-primary → --ui-blue-500 → #2563eb,--ui-color-surface → --ui-white → #ffffff,onyx-checkbox.ui-checkbox > label.ui-checkbox__wrap > input.ui-checkbox__el,
checkbox,light,default,text,text,required,4.5,17.85,PASS,PASS,onyx-checkbox › span.ui-checkbox__label,--ui-color-text,#0f172a,--ui-color-surface,#ffffff,16,400,false,2,--ui-color-text → --ui-slate-900 → #0f172a,--ui-color-surface → --ui-white → #ffffff,onyx-checkbox.ui-checkbox > label.ui-checkbox__wrap > span.ui-checkbox__label,Accept terms
checkbox,light,default,non-text,accent,exempt-disabled,,5.17,EXEMPT,PASS,onyx-checkbox.ui-checkbox--disabled › input.ui-checkbox__el [disabled] accent-color (UA-drawn checked fill),--ui-checkbox-bg-checked,#2563eb,--ui-color-surface,#ffffff,,,,1,--ui-checkbox-bg-checked → --ui-color-primary → --ui-blue-500 → #2563eb,--ui-color-surface → --ui-white → #ffffff,onyx-checkbox.ui-checkbox.ui-checkbox--disabled > label.ui-checkbox__wrap > input.ui-checkbox__el,
checkbox,light,default,text,text,exempt-disabled,,2.56,EXEMPT,FAIL,onyx-checkbox.ui-checkbox--disabled › span.ui-checkbox__label [disabled],--ui-checkbox-disabled-text,#94a3b8,--ui-color-surface,#ffffff,16,400,false,1,--ui-checkbox-disabled-text → --ui-color-disabled-text → --ui-slate-400 → #94a3b8,--ui-color-surface → --ui-white → #ffffff,onyx-checkbox.ui-checkbox.ui-checkbox--disabled > label.ui-checkbox__wrap > span.ui-checkbox__label,Disabled
checkbox,light,focus,non-text,focus-ring,required,3,5.17,PASS,PASS,onyx-checkbox › input.ui-checkbox__el focus-ring/box-shadow,--ui-focus-ring,#2563eb,--ui-color-surface,#ffffff,,,,1,--ui-focus-ring → --ui-color-primary → --ui-blue-500 → #2563eb,--ui-color-surface → --ui-white → #ffffff,onyx-checkbox.ui-checkbox > label.ui-checkbox__wrap > input.ui-checkbox__el,
checkbox,dark,default,non-text,accent,required,3,9.29,PASS,PASS,onyx-checkbox › input.ui-checkbox__el accent-color (UA-drawn checked fill),--ui-checkbox-bg-checked,#34d399,--ui-color-surface,#0f172a,,,,2,--ui-checkbox-bg-checked → --ui-color-primary → --ui-emerald-400 → #34d399,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-checkbox.ui-checkbox > label.ui-checkbox__wrap > input.ui-checkbox__el,
checkbox,dark,default,text,text,required,4.5,17.06,PASS,PASS,onyx-checkbox › span.ui-checkbox__label,--ui-color-text,#f8fafc,--ui-color-surface,#0f172a,16,400,false,2,--ui-color-text → --ui-slate-50 → #f8fafc,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-checkbox.ui-checkbox > label.ui-checkbox__wrap > span.ui-checkbox__label,Accept terms
checkbox,dark,default,non-text,accent,exempt-disabled,,9.29,EXEMPT,PASS,onyx-checkbox.ui-checkbox--disabled › input.ui-checkbox__el [disabled] accent-color (UA-drawn checked fill),--ui-checkbox-bg-checked,#34d399,--ui-color-surface,#0f172a,,,,1,--ui-checkbox-bg-checked → --ui-color-primary → --ui-emerald-400 → #34d399,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-checkbox.ui-checkbox.ui-checkbox--disabled > label.ui-checkbox__wrap > input.ui-checkbox__el,
checkbox,dark,default,text,text,exempt-disabled,,3.75,EXEMPT,PASS,onyx-checkbox.ui-checkbox--disabled › span.ui-checkbox__label [disabled],--ui-checkbox-disabled-text,#64748b,--ui-color-surface,#0f172a,16,400,false,1,--ui-checkbox-disabled-text → --ui-color-disabled-text → --ui-slate-500 → #64748b,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-checkbox.ui-checkbox.ui-checkbox--disabled > label.ui-checkbox__wrap > span.ui-checkbox__label,Disabled
checkbox,dark,focus,non-text,focus-ring,required,3,9.29,PASS,PASS,onyx-checkbox › input.ui-checkbox__el focus-ring/box-shadow,--ui-focus-ring,#34d399,--ui-color-surface,#0f172a,,,,1,--ui-focus-ring → --ui-emerald-400 → #34d399,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-checkbox.ui-checkbox > label.ui-checkbox__wrap > input.ui-checkbox__el,
checkbox,acme,default,non-text,accent,required,3,5.7,PASS,PASS,onyx-checkbox › input.ui-checkbox__el accent-color (UA-drawn checked fill),--ui-checkbox-bg-checked,#7c3aed,--ui-color-surface,#ffffff,,,,2,--ui-checkbox-bg-checked → --ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-checkbox.ui-checkbox > label.ui-checkbox__wrap > input.ui-checkbox__el,
checkbox,acme,default,text,text,required,4.5,17.85,PASS,PASS,onyx-checkbox › span.ui-checkbox__label,--ui-color-text,#0f172a,--ui-color-surface,#ffffff,16,400,false,2,--ui-color-text → --ui-slate-900 → #0f172a,--ui-color-surface → --ui-white → #ffffff,onyx-checkbox.ui-checkbox > label.ui-checkbox__wrap > span.ui-checkbox__label,Accept terms
checkbox,acme,default,non-text,accent,exempt-disabled,,5.7,EXEMPT,PASS,onyx-checkbox.ui-checkbox--disabled › input.ui-checkbox__el [disabled] accent-color (UA-drawn checked fill),--ui-checkbox-bg-checked,#7c3aed,--ui-color-surface,#ffffff,,,,1,--ui-checkbox-bg-checked → --ui-color-primary → #7c3aed,--ui-color-surface → --ui-white → #ffffff,onyx-checkbox.ui-checkbox.ui-checkbox--disabled > label.ui-checkbox__wrap > input.ui-checkbox__el,
checkbox,acme,default,text,text,exempt-disabled,,2.56,EXEMPT,FAIL,onyx-checkbox.ui-checkbox--disabled › span.ui-checkbox__label [disabled],--ui-checkbox-disabled-text,#94a3b8,--ui-color-surface,#ffffff,16,400,false,1,--ui-checkbox-disabled-text → --ui-color-disabled-text → --ui-slate-400 → #94a3b8,--ui-color-surface → --ui-white → #ffffff,onyx-checkbox.ui-checkbox.ui-checkbox--disabled > label.ui-checkbox__wrap > span.ui-checkbox__label,Disabled
checkbox,acme,focus,non-text,focus-ring,required,3,4.23,PASS,PASS,onyx-checkbox › input.ui-checkbox__el focus-ring/box-shadow,--ui-focus-ring,#8b5cf6,--ui-color-surface,#ffffff,,,,1,--ui-focus-ring → #8b5cf6,--ui-color-surface → --ui-white → #ffffff,onyx-checkbox.ui-checkbox > label.ui-checkbox__wrap > input.ui-checkbox__el,
data-table,light,default,non-text,border,informational,,1.23,INFO,FAIL,onyx-data-table › div.ui-dt__grid border,--ui-data-table-border,#e2e8f0,--ui-color-surface,#ffffff,,,,6,--ui-data-table-border → --ui-color-border → --ui-slate-200 → #e2e8f0,--ui-color-surface → --ui-white → #ffffff,onyx-data-table.ui-data-table > div.ui-dt__grid,
data-table,light,default,non-text,border-b,informational,,1.23,INFO,FAIL,onyx-data-table › div.ui-dt__head border-b,--ui-data-table-border,#e2e8f0,--ui-data-table-bg,#ffffff,,,,6,--ui-data-table-border → --ui-color-border → --ui-slate-200 → #e2e8f0,--ui-data-table-bg → --ui-color-surface → --ui-white → #ffffff,onyx-data-table.ui-data-table > div.ui-dt__grid > div.ui-dt__head,
data-table,light,default,non-text,border-b-vs-own-bg,informational,,1.13,INFO,FAIL,onyx-data-table › div.ui-dt__head border-b/inner,--ui-data-table-border,#e2e8f0,--ui-data-table-header-bg,#eff6ff,,,,6,--ui-data-table-border → --ui-color-border → --ui-slate-200 → #e2e8f0,--ui-data-table-header-bg → --ui-color-surface-hover → --ui-blue-50 → #eff6ff,onyx-data-table.ui-data-table > div.ui-dt__grid > div.ui-dt__head,
data-table,light,default,non-text,box,informational,,1.09,INFO,FAIL,onyx-data-table › div.ui-dt__head box,--ui-data-table-header-bg,#eff6ff,--ui-data-table-bg,#ffffff,,,,6,--ui-data-table-header-bg → --ui-color-surface-hover → --ui-blue-50 → #eff6ff,--ui-data-table-bg → --ui-color-surface → --ui-white → #ffffff,onyx-data-table.ui-data-table > div.ui-dt__grid > div.ui-dt__head,
